Nombre,Reportes de Incidencias Delictivas al mes de febrero (SESNSP),,,,,,,,,,,,,,,,,,,
Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Sexo,Rango de edad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2024,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,Hombre,Menores de edad (0-17),2,0,1,0,2,1,1,0,1,0,0,2
2024,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,Hombre,Menores de edad (0-17),2,6,2,4,5,3,4,4,1,2,7,3
2024,17,Morelos,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Hombre,Menores de edad (0-17),1,0,2,0,1,0,2,0,1,0,0,0
2024,17,Morelos,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,Libertad personal,Secuestro,Secuestro,Secuestro exprés,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,Libertad personal,Rapto,Rapto,Rapto,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Menores de edad (0-17),3,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,El patrimonio,Extorsión,Extorsión,Extorsión,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,Hombre,Menores de edad (0-17),1,0,0,0,0,6,0,0,0,0,0,0
2024,17,Morelos,La sociedad,Trata de personas,Trata de personas,Trata de personas,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
2024,17,Morelos,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Hombre,Menores de edad (0-17),0,0,0,0,0,0,0,0,0,0,0,0
Año,Clave_Ent,Entidad,Bien jurídico afectado,Tipo de delito,Subtipo de delito,Modalidad,Sexo,Rango de edad,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,Mujer,Menores de edad (0-17),1,1,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,Mujer,Menores de edad (0-17),0,1,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,Mujer,Menores de edad (0-17),1,1,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,Mujer,Menores de edad (0-17),3,3,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma de fuego,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con arma blanca,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Feminicidio,Feminicidio,Con otro elemento,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Feminicidio,Feminicidio,No especificado,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Mujer,Menores de edad (0-17),1,1,,,,,,,,,,
2025,17,Morelos,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Secuestro,Secuestro,Secuestro exprés,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Rapto,Rapto,Rapto,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,El patrimonio,Extorsión,Extorsión,Extorsión,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,Mujer,Menores de edad (0-17),2,1,,,,,,,,,,
2025,17,Morelos,La sociedad,Trata de personas,Trata de personas,Trata de personas,Mujer,Menores de edad (0-17),1,0,,,,,,,,,,
2025,17,Morelos,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Mujer,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma de fuego,Hombre,Menores de edad (0-17),1,2,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con arma blanca,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio doloso,Con otro elemento,Hombre,Menores de edad (0-17),1,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio doloso,No especificado,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma de fuego,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con arma blanca,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio culposo,En accidente de tránsito,Hombre,Menores de edad (0-17),2,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio culposo,Con otro elemento,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Homicidio,Homicidio culposo,No especificado,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma de fuego,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con arma blanca,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,Con otro elemento,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones dolosas,No especificado,Hombre,Menores de edad (0-17),1,1,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma de fuego,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con arma blanca,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,En accidente de tránsito,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,Con otro elemento,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Lesiones,Lesiones culposas,No especificado,Hombre,Menores de edad (0-17),4,1,,,,,,,,,,
2025,17,Morelos,La vida y la Integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Otros delitos que atentan contra la vida y la integridad corporal,Hombre,Menores de edad (0-17),1,1,,,,,,,,,,
2025,17,Morelos,Libertad personal,Secuestro,Secuestro,Secuestro extorsivo,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Secuestro,Secuestro,Secuestro con calidad de rehén,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Secuestro,Secuestro,Secuestro para causar daño,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Secuestro,Secuestro,Secuestro exprés,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Secuestro,Secuestro,Otro tipo de secuestros,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Tráfico de menores,Tráfico de menores,Tráfico de menores,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Rapto,Rapto,Rapto,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,Libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Otros delitos que atentan contra la libertad personal,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,El patrimonio,Extorsión,Extorsión,Extorsión,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La sociedad,Corrupción de menores,Corrupción de menores,Corrupción de menores,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La sociedad,Trata de personas,Trata de personas,Trata de personas,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
2025,17,Morelos,La sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Otros delitos contra la sociedad,Hombre,Menores de edad (0-17),0,0,,,,,,,,,,
